id;nume;telefon;email;locatie_id
1;MedLife Grivita;0219646;contact@medlife.ro;1
2;Regina Maria Baneasa;0219228;office@reginamaria.ro;1
3;Sanador Victoriei;0219699;programari@sanador.ro;1
4;Clinica Sante Dorobanti;0219191;info@clinicasante.ro;1
5;Medicover Pipera;0219896;receptie@medicover.ro;1
6;Synevo Lujerului;0219666;rezultate@synevo.ro;1
7;MedLife Vitan;0219600;vitan@medlife.ro;1
8;Regina Maria Floresti;0264339220;cluj@reginamaria.ro;2
9;Medicover Cluj;0264208210;cluj@medicover.ro;2
10;MedLife Cluj Polus;0264419500;cluj@medlife.ro;2
11;Sanador Timisoara;0356000399;timisoara@sanador.ro;3
12;Regina Maria Timisoara;0356000380;timisoara@reginamaria.ro;3
13;MedLife Iasi;0232264200;iasi@medlife.ro;4
14;Regina Maria Iasi;0232266200;iasi@reginamaria.ro;4
15;MedLife Brasov;0268547200;brasov@medlife.ro;5
16;Synevo Brasov;0268410700;brasov@synevo.ro;5
17;Clinica Ovidius Constanta;0241691100;contact@clinicaovidius.ro;6
18;MedLife Constanta;0241666200;constanta@medlife.ro;6
19;Global Med Sibiu;0269806200;contact@globalmed.ro;7
20;MedLife Oradea;0259414200;oradea@medlife.ro;8
