id;ziua_saptamanii;ora_start;ora_final;medic_id;locatie_id
1;LUNI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;1;1
2;MARTI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;1;1
3;MIERCURI;2024-01-01T09:00:00Z;2024-01-01T17:00:00Z;1;1
4;JOI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;1;1
5;VINERI;2024-01-01T08:00:00Z;2024-01-01T14:00:00Z;1;1
6;LUNI;2024-01-01T10:00:00Z;2024-01-01T18:00:00Z;2;1
7;MARTI;2024-01-01T10:00:00Z;2024-01-01T18:00:00Z;2;1
8;MIERCURI;2024-01-01T10:00:00Z;2024-01-01T18:00:00Z;2;1
9;JOI;2024-01-01T10:00:00Z;2024-01-01T18:00:00Z;2;1
10;VINERI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;2;1
11;LUNI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;3;1
12;MARTI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;3;1
13;MIERCURI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;3;1
14;JOI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;3;1
15;VINERI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;3;1
16;LUNI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;4;1
17;MARTI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;4;1
18;MIERCURI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;4;1
19;JOI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;4;1
20;VINERI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;4;1
21;LUNI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;5;1
22;MARTI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;5;1
23;MIERCURI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;5;1
24;JOI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;5;1
25;VINERI;2024-01-01T08:00:00Z;2024-01-01T16:00:00Z;5;1
26;SAMBATA;2024-01-01T08:00:00Z;2024-01-01T13:00:00Z;2;1
27;SAMBATA;2024-01-01T09:00:00Z;2024-01-01T14:00:00Z;1;1
28;SAMBATA;2024-01-01T08:00:00Z;2024-01-01T12:00:00Z;3;1
